u,techniques,items,n_items,ratings,n_ratings
2375,"[44, 0, 0, 17, 31, 0, 0, 1, 0, 54, 6, 4, 0, 0, 2, 0, 20, 0, 0, 4, 12, 3, 0, 6, 0, 0, 2, 10, 15, 6, 0, 0, 0, 34, 0, 1, 16, 5, 15, 0, 1, 3, 29, 20, 3, 0, 10, 4, 0, 4, 1, 1, 0, 3, 2, 12, 1, 11]","[100665, 118122, 100272, 138579, 149739, 137196, 55772, 86852, 123491, 90175, 123816, 16988, 82494, 22497, 79360, 112081, 61366, 22196, 116926, 103500, 150278, 62527, 167812, 44838, 91521, 96763, 27434, 80995, 17189, 121687, 69678, 137643, 124618, 99253, 93354, 6579, 103712, 51248, 139822, 90535, 77335, 37747, 83934, 91140, 78333, 70861, 61720, 89887, 170582, 82205, 71005, 26208, 96986, 150421, 133521, 140000, 158268, 158510, 118462, 143710, 31038, 176823, 96738, 129908, 122680, 112094, 163756, 135111, 53395, 143673, 75272, 129129, 54149, 58534, 123503, 2549, 39665, 26203, 109925, 169021, 119903, 104491, 41024, 110194, 69388, 165421, 52077, 8636, 43126, 114585, 105136, 65289, 168450, 24229, 903, 84156, 9741, 48673, 127488, 145391, 79996, 137736, 165969, 10393, 43884, 22632, 94618, 6536, 177806, 36006, 1248, 105381, 12199, 46159, 60280, 34183, 8525, 172169, 84264, 148926]",120,"[3.0, 4.0, 3.0, 2.0, 3.0, 3.0, 5.0, 4.0, 3.0, 5.0, 4.0, 4.0, 5.0, 4.0, 4.0, 5.0, 3.0, 3.0, 4.0, 5.0, 5.0, 0.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 4.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 3.0, 5.0, 4.0, 4.0, 5.0, 5.0, 0.0, 5.0, 5.0, 5.0, 0.0, 4.0, 5.0, 0.0, 4.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 0.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0]",120
14062,"[6, 0, 0, 2, 5, 0, 0, 1, 0, 6, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 4, 0, 1, 1, 1, 2, 0, 0, 1, 6, 6, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1]","[67752, 66611, 98186, 150638, 89184, 97738, 56080, 34789, 168456, 35641, 116132, 105478, 129259, 149320, 65433, 13402, 99452, 147374, 153492]",19,"[5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",19
16540,"[0, 0, 0, 2, 1, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]","[71299, 76381, 146027, 164582, 135561, 18802, 136329]",7,"[4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0]",7
16485,"[2, 0, 0, 3, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 5, 0, 0, 0, 0, 3, 0, 0, 1, 1, 1, 0, 0, 0, 2, 4, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 3]","[43130, 70326, 95603, 93673, 116865, 140003, 111110, 74581, 79521, 18629, 119351, 89924, 165244]",13,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",13
23493,"[5, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]","[98327, 95872, 171328, 90262, 102527, 135961, 121334, 102942]",8,"[5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0]",8
14985,"[21, 0, 0, 6, 8, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 3, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 5, 1, 0, 0, 0, 12, 0, 1, 3, 0, 0, 0, 0, 1, 4, 3, 0, 0, 6, 1, 0, 0, 0, 0, 0, 5, 0, 1, 5, 7]","[126036, 112981, 98280, 98000, 19639, 26686, 147948, 157340, 171755, 99851, 130955, 152256, 15077, 116549, 148616, 99253, 176091, 134942, 146901, 165333, 173080, 123804, 36706, 95745, 77723, 119044, 164596, 55984, 171598, 45968, 124230, 34183]",32,"[5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0, 4.0, 0.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 0.0, 5.0, 5.0, 5.0, 5.0, 3.0]",32
10735,"[2, 0, 0, 8, 7, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0, 1, 5, 1, 0, 1, 0, 5, 0, 1, 4, 3, 4, 0, 0, 1, 7, 4, 0, 0, 2, 0, 0, 4, 0, 0, 0, 1, 2, 8, 1, 2]","[8980, 24873, 7866, 148527, 128479, 123358, 92976, 9749, 103605, 53324, 112345, 33973, 157397, 15736, 121722, 51937, 141634, 100391, 32603, 19946, 72654, 59923, 150374, 166686, 146494, 168456, 151169, 142847, 116956, 48129]",30,"[0.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 4.0, 0.0, 0.0, 4.0, 4.0, 5.0, 4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 5.0, 5.0, 4.0, 4.0, 4.0, 5.0, 0.0, 0.0, 3.0, 5.0]",30
8264,"[4, 0, 0, 2, 4, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 1, 1, 0, 1, 1, 0, 2, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 1]","[100269, 123336, 112889, 5066, 32128, 148114, 52651, 72072, 48195, 131426, 106926]",11,"[5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0]",11
11767,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 5, 0, 0, 2, 2, 4, 0, 0, 0, 0, 6, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1]","[37380, 62062, 9321, 105473, 53716, 149764, 74289, 91248, 103366, 69164, 158498, 46641, 121509, 176215, 49562]",15,"[5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0]",15
2962,"[24, 0, 0, 9, 12, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 0, 5, 0, 0, 0, 3, 0, 1, 1, 1, 0, 0, 3, 8, 0, 0, 0, 0, 11, 0, 1, 2, 0, 2, 0, 0, 0, 3, 4, 1, 0, 10, 0, 0, 0, 0, 0, 0, 2, 1, 3, 3, 4]","[120618, 124095, 58007, 69585, 111045, 35341, 53780, 163831, 61985, 1169, 57572, 64526, 109478, 55984, 156416, 82872, 150089, 1602, 52952, 73879, 110062, 38532, 64609, 89219, 23583, 122208, 145805, 22551, 39596, 147344, 5281, 3165, 169597, 26208, 169717]",35,"[5.0, 3.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 2.0, 4.0, 5.0, 2.0, 5.0, 5.0, 5.0, 4.0, 5.0, 3.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0]",35
864,"[4, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[89828, 32114, 29010, 101084, 279, 45833, 72664, 77611]",8,"[4.0, 3.0, 4.0, 5.0, 3.0, 3.0, 5.0, 5.0]",8
11117,"[9, 0, 0, 5, 3, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 6, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[73956, 144284, 110539, 74148, 2949, 11021, 140898, 103648, 31260, 65788, 171717, 75244, 149008, 113961, 102211, 32084]",16,"[4.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 4.0, 3.0, 4.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0]",16
7673,"[23, 1, 0, 7, 3, 0, 0, 0, 0, 16, 0, 1, 0, 0, 2, 0, 5, 0, 0, 1, 1, 3, 0, 0, 0, 0, 0, 2, 6, 2, 0, 0, 0, 7, 0, 1, 3, 0, 2, 0, 0, 0, 4, 4, 0, 0, 4, 0, 0, 1, 0, 0, 0, 3, 1, 4, 0, 4]","[90256, 33381, 11467, 52651, 93038, 62260, 25280, 97240, 84490, 136147, 164782, 160209, 124469, 84834, 70453, 137945, 151388, 24369, 106774, 10329, 140005, 41955, 93771, 6437, 173080, 71748, 4503, 6063, 127378, 96443, 92377, 25124, 166162, 150876, 89504, 37033, 108472]",37,"[5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 4.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 1.0, 3.0, 3.0, 4.0, 5.0, 5.0, 4.0, 2.0, 3.0, 5.0, 5.0, 1.0, 4.0]",37
8751,"[8, 0, 0, 1, 1, 0, 0, 1, 0, 5, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 0, 0, 0, 4, 0, 0, 1, 2, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 1, 0, 0]","[126320, 59686, 80498, 118481, 174255, 30493, 176215, 62427, 31005, 95864]",10,"[5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 4.0]",10
8761,"[8, 0, 0, 1, 3, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[159832, 81909, 24513, 48456, 150824, 147529, 5529, 104812, 94323, 39721, 134105, 8930, 115100, 141683]",14,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 3.0, 0.0, 5.0]",14
6187,"[4, 0, 0, 0, 2, 0, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 3, 0, 1]","[47092, 174552, 69059, 54303, 24040, 143710, 1652, 57427, 35359, 4697, 3215, 36527]",12,"[5.0, 5.0, 0.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0]",12
19056,"[3, 0, 0, 1, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1]","[91140, 54613, 135968, 145641, 86859, 27935, 78026]",7,"[4.0, 4.0, 4.0, 5.0, 0.0, 5.0, 5.0]",7
14431,"[7, 0, 0, 2, 3, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 6, 0, 0, 2, 0, 1, 0, 0, 0, 1, 3, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1]","[162545, 163872, 122040, 18210, 146610, 146153, 25086, 55066, 13906, 139822, 86859, 87422, 85633]",13,"[5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 5.0, 4.0, 5.0, 2.0, 5.0]",13
15274,"[2, 0, 0, 0, 3, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0]","[75996, 101328, 15627, 163647, 17724]",5,"[5.0, 5.0, 5.0, 5.0, 5.0]",5
14069,"[4, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[37047, 147180, 124230, 30629, 56425]",5,"[1.0, 2.0, 1.0, 4.0, 2.0]",5
12190,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 2, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3, 0]","[102141, 27908, 9863, 96672, 132697, 45968]",6,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",6
9051,"[4, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]","[41500, 51627, 5864, 10342, 49241, 166624]",6,"[5.0, 5.0, 4.0, 5.0, 4.0, 5.0]",6
1664,"[12, 0, 0, 5, 0, 0, 0, 0, 0, 6, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 5, 0, 1, 2, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[15097, 131992, 46523, 11669, 48044, 114179, 121200, 41717, 25611, 35746, 90301, 82657, 33247, 630, 147427]",15,"[5.0, 3.0, 3.0, 4.0, 3.0, 4.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 4.0, 4.0, 5.0]",15
3185,"[21, 0, 0, 5, 9, 0, 0, 1, 0, 17, 1, 2, 0, 0, 0, 0, 2, 0, 0, 2, 2, 0, 0, 1, 2, 0, 0, 1, 9, 3, 0, 0, 0, 13, 0, 2, 8, 2, 1, 0, 0, 0, 1, 4, 2, 0, 6, 1, 0, 0, 0, 1, 0, 4, 1, 2, 5, 6]","[150504, 28340, 55750, 35253, 148506, 26031, 101316, 161224, 1275, 134518, 34047, 121102, 124625, 155665, 70918, 95844, 72664, 119351, 86123, 163108, 124773, 116533, 139279, 80275, 112213, 172744, 122241, 156911, 73956, 156498, 74284, 54194, 43057, 9651, 85419, 69167, 23413, 138807, 151926, 92748, 75244]",41,"[5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 4.0, 5.0, 3.0, 5.0, 4.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 0.0]",41
21805,"[4, 0, 0, 2, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[57535, 134562, 175839, 111292, 46144]",5,"[5.0, 4.0, 4.0, 5.0, 5.0]",5
5414,"[2, 0, 0, 2, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[111260, 10735, 97409, 67777, 65803, 2604]",6,"[4.0, 5.0, 4.0, 5.0, 5.0, 5.0]",6
7339,"[4, 0, 0, 1, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1]","[62176, 4152, 92080, 130480, 144458, 158362, 79621, 126182, 6067, 52334]",10,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",10
12331,"[6, 0, 0, 3, 3, 0, 0, 0, 0, 5, 0, 1, 0, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 5, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 1, 2]","[114402, 117899, 162852, 89113, 113765, 101486, 33252, 46522, 171328, 10076, 110203, 73729, 92292, 15173]",14,"[5.0, 5.0, 5.0, 3.0, 5.0, 4.0, 5.0, 5.0, 4.0, 4.0, 4.0, 5.0, 5.0, 4.0]",14
11661,"[6, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 4, 0, 0, 0, 0, 2, 0, 0, 3, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]","[117291, 177851, 95315, 47837, 125296, 130876, 135961, 65788, 160154, 9143, 95442]",11,"[3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",11
18756,"[3, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 4, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0]","[155908, 122785, 26779, 120821, 61366, 156091]",6,"[4.0, 2.0, 5.0, 4.0, 5.0, 5.0]",6
1621,"[10, 0, 0, 5, 3, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 8, 1, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 3]","[27449, 150775, 116042, 125763, 147313, 58418, 73956, 131890, 3814, 65790, 138749, 31003, 19288]",13,"[5.0, 3.0, 5.0, 5.0, 2.0, 3.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 3.0]",13
21231,"[4, 0, 0, 1, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 7, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 2]","[84777, 111032, 111873, 38540, 147180, 127457, 176543, 151712, 87565, 55091, 52493, 85542]",12,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0]",12
1573,"[73, 3, 0, 21, 37, 0, 0, 6, 0, 68, 4, 3, 1, 1, 5, 0, 39, 0, 0, 9, 8, 5, 2, 13, 0, 0, 5, 3, 46, 10, 0, 0, 0, 49, 0, 1, 13, 2, 11, 0, 1, 3, 27, 37, 1, 0, 9, 3, 0, 6, 0, 3, 0, 9, 8, 22, 5, 18]","[158607, 33338, 158568, 88718, 81397, 4967, 119443, 168743, 56230, 168119, 114297, 118721, 102152, 19742, 148844, 22333, 92002, 76275, 112305, 165956, 99912, 139378, 13781, 153127, 135800, 85290, 37662, 112413, 23752, 7698, 14543, 101074, 124853, 103500, 82283, 172165, 34610, 144537, 68464, 166805, 43676, 83787, 153910, 112142, 17033, 83519, 81848, 76455, 78246, 16325, 4738, 134634, 23694, 111399, 161588, 126885, 3258, 157080, 50234, 154054, 81408, 100661, 167820, 169921, 20150, 7197, 57650, 125352, 171987, 21302, 60133, 141647, 57868, 72064, 175679, 171178, 34124, 29803, 141780, 1736, 37162, 172875, 13762, 91567, 120590, 57504, 60629, 122325, 165978, 61522, 138592, 20203, 93880, 166157, 172379, 131969, 111307, 152639, 103402, 115892, 8430, 106345, 100168, 45590, 127133, 129152, 136784, 36471, 100423, 66152, 63482, 57659, 140967, 106473, 142628, 148202, 78333, 128160, 154206, 79756, 69148, 43723, 113632, 5084, 10457, 154336, 4115, 162916, 89838, 87753, 154600, 166465, 9994, 39364, 103574, 30365, 37168, 160336, 4410, 3266, 136370, 155188, 76645, 98739, 8636, 15174, 49073, 79265, 128596, 93511, 124836, 37674, 131419, 35699, 167457, 160709, 85862, 60898, 168732, 31318, 103425, 26011, 131506, 56077, 39419, 60160, 90191, 57603, 68889, 58203, 18865, 7134, 96442, 90138, 18266, 27784, 98060, 156835, 622, 39248, 163712, 86299, 171654, 65558, 33143, 176814, 150473, 30730, 36207, 75385, 44117, 44354, 136139, 41204, 44303, 94537, 170569, 167231, 34215, 56965]",200,"[5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 5.0, 4.0, 3.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 0.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0, 4.0, 4.0, 4.0, 5.0, 0.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0, 4.0, 3.0, 5.0, 5.0, 5.0, 5.0, 3.0, 4.0, 5.0, 5.0, 4.0, 3.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 3.0, 5.0, 4.0, 5.0, 5.0, 5.0, 3.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 0.0, 5.0, 5.0, 5.0, 5.0, 0.0, 4.0, 5.0, 4.0, 4.0, 5.0, 4.0, 5.0, 0.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 4.0, 5.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 5.0, 4.0, 5.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 3.0, 4.0, 5.0, 3.0, 4.0, 4.0, 5.0, 4.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 3.0, 4.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 5.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0]",200
17639,"[2, 0, 0, 1, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[79753, 64311, 128509, 47008, 77891, 105049]",6,"[4.0, 5.0, 5.0, 5.0, 5.0, 5.0]",6
18122,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[24634, 92853, 88353, 171761, 55772, 117899]",6,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",6
